topic_id,topic_name,description
1,Programstrukturer,Introduction to program structures
2,Datastrukturer,Understanding data structures
3,Bibliotek,Using libraries in programming
4,Funksjoner og metoder,Defining and using functions and methods
5,Objektorientert programmering,Concepts of object-oriented programming
6,Debugging, testing og unntaksbehandling,Debugging, testing, and exception handling
7,API,Using APIs in applications
8,GUI,Developing graphical user interfaces
9,UML,Using UML for software design
10,Filbehandling,File handling in programming
11,Datasikkerhet,Security in programming
