outcome_id,category,description
1,Kunnskap,har kunnskap om grunnleggende programmering og programmeringsverktøy
2,Kunnskap,har kunnskap om grunnleggende programmeringsteknikker som variabeldeklarasjoner, kontrollstrukturer, løkker og funksjoner
3,Kunnskap,har kunnskap om utvikling av brukergrensesnitt
4,Kunnskap,har kunnskap om kommunikasjon mellom ulike programgrensesnitt
5,Kunnskap,har kunnskap om viktigheten av å ivareta sikkerheten av applikasjoner
6,Kunnskap,har kunnskap om grunnleggende sikkerhet relatert til programmering 
7,Kunnskap,kan tilegne seg ny kunnskap innen programmering gjennom å benytte relevant faglitteratur og andre ressurser
8,Kunnskap,har innsikt i egne utviklingsmuligheter innenfor programmering
9,Ferdigheter,kan utvikle et brukergrensesnitt ved hjelp av kode og utviklingsverktøy
10,Ferdigheter,kan skrive kode med variabeldeklarasjoner, kontrollstrukturer, løkker og funksjoner
11,Ferdigheter,kan lese og tolke kode
12,Ferdigheter,kan utføre vedlikeholde og forbedre eksisterende applikasjoner
13,Ferdigheter,kan drøfte grunnleggende sikkerhet til en applikasjon
14,Generell kompetanse,kan vedlikeholde og utvikle sin egen kompetanse innenfor emnet
15,Generell kompetanse,kan delta aktivt i prosjekter
16,Generell kompetanse,kan utføre arbeid etter oppdragsgivers behov, etablere fagnettverk og samarbeide med mennesker på kryss av fagfelt
17,Generell kompetanse,kan utveksle bransjerelaterte synspunkter og informasjon
18,Generell kompetanse,kan bygge relasjoner, både internt, eksternt og på tvers av fagfelt
