content_id,course_id,topic,description
1,1,Windows server,Installasjon, konfigurasjon og administrasjon
2,1,Windows server,Sikkerhet i Windows server
3,1,Windows server,Klient og server
4,1,Windows server,Active Directory
5,1,Windows server,Group Policy
6,1,Windows server,PowerShell
7,1,Windows server,Lagring
8,1,Windows server,VPN og brannmur
9,1,Windows server,Servertjenester
10,1,Virtualisering,Installasjon, konfigurasjon og sikring av hypervisor
11,1,Virtualisering,Overvåking og optimalisering
12,1,Virtualisering,IaaS, PaaS, SaaS og DaaS
13,1,Virtualisering,Tilgjengelighet og redundans
14,2,Systemdrift,Installasjon
15,2,Systemdrift,Linux distribusjoner
16,2,Systemdrift,Brukeradministrasjon
17,2,Systemdrift,Nettverk
18,2,Systemdrift,Prosesser
19,2,Systemdrift,Terminal
20,2,Systemdrift,Pakkesystemer
21,2,Systemdrift,Lagring og filsystemer
22,2,Systemdrift,Servertjenester
23,2,Systemdrift,Containere
24,2,Systemdrift,Automatisering
25,2,Systemdrift,Sikkerhet
