outcome_id,course_id,category,description
1,1,Kunnskap,har kunnskap om funksjoner og virkemåte for ulike operativsystemer for server og klient
2,1,Kunnskap,har kunnskap om Windows katalogtjenester og konfigurasjonen og sikring av disse
3,1,Kunnskap,har kunnskap om virkemåte, oppbygging, drift og sikring av virtualiserte miljøer
4,1,Kunnskap,har kunnskap om konfigurasjon og virkemåte for skrivebords-, applikasjons- og operativsystem-virtualisering
5,1,Kunnskap,har kunnskap om å framstille og oppdatere nødvendig dokumentasjon i ulike driftsmiljøer og IKT-nettverk
6,1,Ferdigheter,kan på en sikker måte installere, konfigurere og drifte katalogtjenester og andre tjenester for forskjellige operativsystemer
7,1,Ferdigheter,kan på en sikker måte installere, konfigurere og drifte virtualiserte miljøer i små og mellomstore bedrifter
8,1,Ferdigheter,kan fremstille og oppdatere dokumentasjon i ulike driftsmiljøer og IKT-nettverk
9,1,Ferdigheter,kan samarbeide med andre medarbeidere og kunne ta hensyn til andre fagområders spesielle behov
10,1,Generell kompetanse,kan prosjektere, planlegge og sikre oppsett av katalogtjenester for ulike operativsystemer i små og mellomstore bedrifter og organisasjoner
11,1,Generell kompetanse,kan vurdere og fremme forslag forbedring av sikkerheten for systemer og tjenester
12,1,Generell kompetanse,kan ta ansvar for dokumentasjon og bruk av denne innenfor eget fagområde
13,1,Generell kompetanse,kan vurdere eget behov for utvikling av kunnskap, ferdigheter og generell kompetanse
14,1,Generell kompetanse,kan planlegge arbeidsopp

gaver i tråd med bedriftens krav og retningslinjer
15,2,Kunnskap,har kunnskap om ulike operativsystemers funksjoner og virkemåte
16,2,Kunnskap,har kunnskap om ulike Linux distribusjoner
17,2,Kunnskap,har kunnskap om administrasjon av pakker i Linux
18,2,Kunnskap,har kunnskap om terminal-grensesnittet i Linux
19,2,Kunnskap,har kunnskap om bruksområdene og nytteverdiene til skallprogrammering
20,2,Kunnskap,har kunnskap om virkemåte, oppbygging og drift av containere
21,2,Ferdigheter,kan forklare oppbygningen av et Linux-filsystem
22,2,Ferdigheter,kan installere, konfigurere, drifte, og vedlikeholde Linux i små og mellomstore bedrifter.
23,2,Ferdigheter,kan administrere filsystemet, brukere og grupper, prosesser, pakker og programvare via terminalen
24,2,Ferdigheter,kan anvende hjelpesider og manualer for å innhente informasjon om kommandoer
25,2,Ferdigheter,kan anvende faglig kunnskap til å utvikle egne driftsrelaterte skript i Bash for å automatisere enkle gjentakende arbeidsoppgaver
26,2,Generell kompetanse,kan prosjektere og planlegge implementering mot katalogtjenester for ulike operativsystemer i små og mellomstore bedrifter og organisasjoner
27,2,Generell kompetanse,kan vurdere, fremme forslag og implementere tiltak for forbedring av sikkerheten for systemer og tjenester
28,2,Generell kompetanse,kan ta ansvar for dokumentasjon og bruk av denne innenfor eget fagområde
29,2,Generell kompetanse,kan vurdere eget behov for utvikling av kunnskap, ferdigheter og generell kompetanse
30,2,Generell kompetanse,kan planlegge arbeidsoppgaver i tråd med bedriftens krav og retningslinjer
